所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/财务管理(#10),检查页面元素是否完整-学员学费,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【学员学费】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),学员学费-缴费,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【学员学费】","1.单击任意数据【退费】
2.交易账户输入""学费账户""
3.交易账号输入""5869562565254""
4.支付方式输入""支付宝""
5.缴费日期输入""2020-04-08""
6.缴费金额输入""19000""
7.缴费情况输入""正常""
8.摘要输入""暂无""
9.单击【缴费】",1. 缴费状态变为"已缴清",,1,功能测试,系统测试阶段,,,
/财务管理(#10),学员学费-退费,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【学员学费】","1.单击任意数据【缴费】
2.交易账户输入""学费账户""
3.交易账号输入""5869562565254""
4.支付方式输入""支付宝""
5.退费日期输入""2020-04-08""
6.退费类型输入""中途退学""
7.退费金额输入""18000""
8.摘要输入""暂无""
9.单击【缴费】
15.页面列表中出现该条数据",1.退费类型变为"中途退学",,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-定金复核,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【定金复核】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),定金复核-复核,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【定金复核】","1.在任意未复核的数据列表中单击【未复核】
2.单击【确定】
3.单击【确定】",1.复核状态变为"已复核",,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-班费管理,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
2.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【班费管理】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),班费管理-新增界面,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【班费管理】","1.在快捷导航栏中【财务管理】下单击【财务流水】
2.单击【新增】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-月度核算,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
2.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【月度核算】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),月度核算-确认,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【月度核算】","1.单击【确认】
2.单击【确定】
3.单击【确定】","1.单击【对账历史】
2.出现该条记录，时间戳一致",,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-账户管理,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
2.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【账户管理】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),账户管理-新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【账户管理】","1.单击【新增】
2.所属区域输入""成都""
3.账户类型输入""公用公账""
4.账户名称输入""成都公账""
5.账户号码输入""2020042016190""
6.账户余额输入""2000""
7.单击【保存】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),账户管理-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【账户管理】","1.单击【修改】
2.所属区域输入""成都""
3.账户类型输入""公用私账""
4.账户名称输入""成都私账""
5.账户号码输入""2020042016190""
6.账户余额输入""2000""
7.单击【保存】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-会计科目,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
2.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【会计科目】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),账户管理-一级科目新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【账户管理】","1.单击【新增】
2.收支类型输入""收入""
3.科目名称输入""其他营业收入""
4.备注输入""无""
5.单击【保存】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),账户管理-一级科目修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【账户管理】","1.一级科目单击【修改】
2.收支类型输入""收入""
3.科目名称输入""其他非营业收入""
4.备注输入""无""
5.单击【保存】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),账户管理-二级科目新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【账户管理】","1.在一级科目中单击【添加】
2.二级科目输入""投资收益""
3.备注输入""无""
4.单击【保存】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),账户管理-二级科目修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【账户管理】","1.单击【+】按键
2.单击【修改】
3.二级科目输入""社会捐赠""
4.备注输入""无""
5.单击【保存】",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-财务报表,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
2.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【财务报表】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
