所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/学员管理/基本信息(#194),修改窗口学号输入框输入13位大写字母,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCDWNJIDHSKI’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入13位小写字母,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘njmkjskisjkju’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入13位包含特殊字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCD12345678#’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入超长内容,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCD123456785556688888888’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入13位数字中间包含大写字母,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCD123456D89’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入4位大写字母+9位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCD201856125’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口班级输入框是否不可修改,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在班级输入框输入‘WNCDC023’","1. 
2. 输入框置灰不可输入",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入12位长度,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘155235656232’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入10位长度,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘1552356562’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入11位包含字母,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘1552356562a’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入11位包含特殊字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘1552356562$’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入11位包含空格,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘155235656 2’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入超长内容,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘155235656212565895214466622555666’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框不输入,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码框不输入
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口电话号码框输入11位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在电话号码输入框输入‘12562565685’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存成功’信息，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口性别下拉框只有两个选项,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 点击性别下拉框","1. 
2. 只显示‘男和女’",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口性别下拉框选择另一条信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 点击性别下拉框，选择和之前不同的性别信息
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口最新状态下拉框显示全部状态信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 点击最新状态下拉框","1. 
2. 显示全部状态信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口最新状态下拉框随机选择一条是否保存成功,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 点击最新状态下拉框，随机选择一条信息
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框输入没有@符号的邮件地址,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框输入12302255qq.com
3. 点击保存","1. 
2. 
3. 显示‘保存失败，邮件地址需为“xxx@xx.com”格式’",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框输入没有.符号的邮件地址,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框输入12302255@qq com
3. 点击保存","1. 
2. 
3. 显示‘保存失败，邮件地址需为“xxx@xx.com”格式’",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框输入没有com字母的邮件地址,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框输入12302255@qq.
3. 点击保存","1. 
2. 
3. 显示‘保存失败，邮件地址需为“xxx@xx.com”格式’",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框输入.后面加空格的邮件地址,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框输入12302255@qq. com
3. 点击保存","1. 
2. 
3. 显示‘保存失败，邮件地址需为“xxx@xx.com”格式’",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框输入.前面加空格的邮件地址,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框输入12302255@qq .com
3. 点击保存","1. 
2. 
3. 显示‘保存失败，邮件地址需为“xxx@xx.com”格式’",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框不输入,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框不输入
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口邮件输入框输入正确邮件地址,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在邮件输入框输入12302255qq.com
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入7位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入1234567
3. 点击保存","1. 
2. 
3. 显示‘保存失败，qq号必须为8-12位数字",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入13位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入1234567891231
3. 点击保存","1. 
2. 
3. 显示‘保存失败，qq号必须为8-12位数字",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入8位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入12345678
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入12位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入123456783212
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入10位带字母,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入123456781a
3. 点击保存","1. 
2. 
3. 显示‘保存失败，qq号必须为8-12位数字",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入10位带特殊字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入123456781#
3. 点击保存","1. 
2. 
3. 显示‘保存失败，qq号必须为8-12位数字",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入超长数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入123456895222222222222223565
3. 点击保存","1. 
2. 
3. 显示‘保存失败，qq号必须为8-12位数字",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框输入10位包含空格,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框输入12345678 0
3. 点击保存","1. 
2. 
3. 显示‘保存失败，qq号必须为8-12位数字",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口qq输入框不输入,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在qq输入框不输入
3. 点击保存","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口来源下拉框显示信息是否完整,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 点击来源下拉框
3. 检查信息完整性","1. 
2. 
3. 信息显示完整",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口来源下拉框点击任意一条信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在来源下拉框选择任意一条信息
3. 点击保存按钮","1. 
2. 
3. 显示‘保存成功’，自动关闭‘修改学员基本信息’窗口，列表和数据库为修改后的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框为空,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 将联系人输入框的信息清空
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，请输入联系人姓名’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘1111111’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，联系人姓名必须为字母或汉字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入空格,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘        ’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，联系人姓名必须为字母或汉字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入特殊字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘#￥￥%%’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，联系人姓名必须为字母或汉字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入超长字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘abcdefghijklmnopqrstuvwxyz’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，联系人姓名长度应为4-8位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入4位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘lucy’
3. 点击保存按钮","1. 
2. 
3. 显示‘修改成功’并自动关闭窗口，列表和数据库为修改后的信息
",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入8位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘你好你好’
3. 点击保存按钮","1. 
2. 
3. 显示‘修改成功’并自动关闭窗口，列表和数据库为修改后的信息
",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入3位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘kjg’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，联系人姓名长度应为4-8位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口联系人输入框输入9位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在联系人输入框输入‘jasonjaso’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，联系人姓名长度应为4-8位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口紧急电话框输入12位长度,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在紧急电话输入框输入‘155235656232’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口紧急电话框输入10位长度,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在紧急电话输入框输入‘1552356562’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，电话号码长度必须是11位数字’信息",3,功能测试,"
功能测试阶段"
