用例编号,所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
add_resource_005,/培训资源(#481),不选择状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：18361231231
3.姓名：张祺
4.状态：【】","
提示：“*最新状态不能为空”",,功能测试,
add_resource_006,,不选择渠道来源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：18361231231
3.姓名：张祺
4.状态：已上门
5.渠道来源：【】",提示：“*渠道来源不能为空”,,功能测试,
add_resource_007,,输入12位手机号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：183612328251",手机号：18361232825,,功能测试,
add_resource_008,,输入10位手机号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：1836123282",提示：“*手机号码格式不正确”,,功能测试,
add_resource_009,,手机号输入合适不正确的手机号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：11111111111",提示：“*手机号码格式不正确”,,功能测试,
add_resource_010,,手机号输入特殊符号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：！！@@！！@@@@@",提示：“*手机号码格式不正确”,,功能测试,
add_resource_011,,手机号输入空格,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号： ","提示：“*电话号码不能为空
         *手机号码格式不正确”",,功能测试,
add_resource_012,,手机号输入字母,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：zxcvbnmasdf",提示：“*手机号码格式不正确”,,功能测试,
update_resource_001,,输入正确信息,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：13561231231
3.姓名：拿铁
4.性别：男
5.最新状态：新入库
6.邮箱：1020220222@qq.com
7.QQ:1020220222
8.学校：清华
9.学历：本科
10.专业：计算机
11.求职意向：测试
12.工作年限：应届生
13.期望薪水：99999
14.渠道来源：网络
15.应聘职位：测试工程师
16.年龄：21
17.教育经历：大学
18.工作经历：无
19.最后跟踪：报名",修改成功,,功能测试,
update_resource_002,,必填项正确输入,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：13561231231
3.姓名：拿铁
4.状态：【新入库】
5.渠道来源：【网络】",修改成功,,功能测试,
update_resource_003,,不填电话,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：","
提示：“*电话号码不能为空”",,功能测试,
update_resource_004,,不填姓名,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：13561231231
3.姓名：","
提示：“*姓名不能为空”",,功能测试,
update_resource_005,,不选择状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：13561231231
3.姓名：拿铁
4.状态：【】","
提示：“*最新状态不能为空”",,功能测试,
update_resource_006,,不选择渠道来源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：13561231231
3.姓名：拿铁
4.状态：【已上门】
5.渠道来源：【】",提示：“*渠道来源不能为空”,,功能测试,
update_resource_007,,输入12位手机号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：13561231231
3.姓名：拿铁
4.状态：【新入库】
5.渠道来源：【网络】",手机号：18361232825,,功能测试,
update_resource_008,,输入10位手机号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：1356123123
3.姓名：拿铁
4.状态：【新入库】
5.渠道来源：【网络】",提示：“*手机号码格式不正确”,,功能测试,
update_resource_009,,手机号输入格式不正确的手机号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：11111111111",提示：“*手机号码格式不正确”,,功能测试,
update_resource_010,,手机号输入特殊符号,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：！！！！！@@@@@@",提示：“*手机号码格式不正确”,,功能测试,
update_resource_011,,手机号输入空格,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号： ","提示：“*电话号码不能为空
         *手机号码格式不正确”",,功能测试,
update_resource_012,,手机号输入字母,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击【修改】
2.手机号：ZXCVBNMASDF",提示：“*手机号码格式不正确”,,功能测试,
delete_resource_001,,勾选要废弃的资源,"1.使用wncd011登陆WoniuBoss2.5登陆成功
2.点击培训资源","1.勾选要废弃的资源
2.点击【废弃】",弹出提示信息弹窗,,功能测试,
delete_resource_002,,勾选要废弃的资源,"1.使用wncd011登陆WoniuBoss2.5登陆成功
2.点击培训资源","1.勾选要废弃的资源
2.点击【废弃】
3.点击【确认】",该资源被废弃至公共池,,功能测试,
delete_resource_003,,勾选要废弃的资源,"1.使用wncd011登陆WoniuBoss2.5登陆成功
2.点击培训资源","1.勾选要废弃的资源
2.点击【废弃】
3.点击【取消】",结束本次废弃任务,,功能测试,
delete_resource_004,,不勾选资源,"1.使用wncd011登陆WoniuBoss2.5登陆成功
2.点击培训资源","1.勾选要废弃的资源
2.点击【废弃】",【废弃】按钮为灰色无法点击,,功能测试,
trans_resource_001,,进入转交责任人页面,1.WoniuBoss2.5登陆成功,1.点击【转交责任人】,显示转角责任人页面,,功能测试,
trans_resource_002,,选择有资源咨询师,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】",1.咨询师【郑雪娇】,显示该咨询师所拥有的所有资源,,功能测试,
trans_resource_003,,选择无资源咨询师,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】",1.咨询师【邓秋菊】,该咨询师没有资源时提示“无符合条件的记录”,,功能测试,
trans_resource_004,,选择有资源区域,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.咨询师【全部】
2.区域【西安】",显示区域是西安的所有资源,,功能测试,
trans_resource_005,,选择无资源区域,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.咨询师【全部】
2.区域【其他区域】",该咨询师没有资源时提示“无符合条件的记录”,,功能测试,
trans_resource_006,,选择有资源状态,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.咨询师【全部】
2.区域【全部】
3.状态【新入库】",显示状态是新入库的所有资源,,功能测试,
trans_resource_007,,选择无资源状态,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.咨询师【全部】
2.区域【全部】
3.状态【新认领】",该状态没有资源时提示“无符合条件的记录”,,功能测试,
trans_resource_008,,文本框输入正确姓名查找,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.文本框输入【马阳】
2.点击【查询】",显示马阳资源信息,,功能测试,
trans_resource_009,,文本框输入不存在的姓名查找,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.文本框输入【张三】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
trans_resource_010,,文本框输入正确手机号查找,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.文本框输入【17790514386】
2.点击【查询】",显示手机号是17790514386的资源信息,,功能测试,
trans_resource_011,,文本框输入不存在的手机号查找,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.文本框输入【13411111111】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
trans_resource_012,,文本框输入正确qq号查找,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.文本框输入【】
2.点击【查询】",显示手机号是17790514386的资源信息,,功能测试,
trans_resource_013,,文本框输入不存在的qq号查找,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.文本框输入【1015221001】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
trans_resource_014,,勾选要转交的资源转交给重庆倪雪,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.勾选【马阳】
2.选择转交给【倪雪】【重庆】
3.点击【提交】",弹窗提示“咨询师和区域选择其一”,,功能测试,
trans_resource_015,,勾选一份资源转交给倪雪,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.勾选【马阳】
2.选择转交给【倪雪】【区域】
3.点击【提交】",弹窗提示“您确定要转交勾选的1份资源给倪雪吗?”,,功能测试,
trans_resource_016,,勾选两份资源转交给倪雪,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.勾选【马阳】【黄义洲】
2.选择转交给【倪雪】【区域】
3.点击【提交】",弹窗提示“您确定要转交勾选的2份资源给倪雪吗?”,,功能测试,
trans_resource_017,,确认转交,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.勾选【马阳】
2.选择转交给【倪雪】【区域】
3.点击【提交】
4.点击【确认】",马阳的咨询师更改为倪雪,,功能测试,
trans_resource_018,,取消转交,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.勾选【马阳】
2.选择转交给【倪雪】【区域】
3.点击【提交】
4.点击【取消】",马阳的咨询师不变,,功能测试,
trans_resource_019,,勾选一份资源转交给西安,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】","1.勾选【马阳】
2.选择转交给【咨询师】【西安】
3.点击【提交】",弹窗提示“您确定要转交勾选的1份资源给西安吗?”,,功能测试,
trans_resource_020,,不勾选资源,"1.使用WNCD000进行WoniuBoss2.5登陆成功
1.点击【转交责任人】",1.点击【提交】,弹窗提示“请选择要转交的资源.”,,功能测试,
allot_resource_001,,进入分配资源,1.WoniuBoss2.5登陆成功,1.点击【分配资源】,默认显示的是当天可分配的资源,,功能测试,
allot_resource_002,,渠道搜索,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】",1.选择【智联招聘】,显示来源是智联招聘的所有资源,,功能测试,
allot_resource_003,,文本框输入正确姓名查找,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.文本框输入【马阳】
2.点击【查询】",显示马阳资源信息,,功能测试,
allot_resource_004,,文本框输入不存在的姓名查找,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.文本框输入【张三】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
allot_resource_005,,文本框输入正确手机号查找,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.文本框输入【17790514386】
2.点击【查询】",显示手机号是17790514386的资源信息,,功能测试,
allot_resource_006,,文本框输入不存在的手机号查找,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.文本框输入【13411111111】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
allot_resource_007,,文本框输入不存在的qq号查找,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.文本框输入【1015221001】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
allot_resource_008,,正确分配简历,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.勾选任一资源
2.选择任一咨询师
3.点击【提交】",该资源成功分配给该咨询师,,功能测试,
allot_resource_009,,不选择资源分配简历,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.选择任一咨询师
2.点击【提交】",弹窗提示“请选择要分配的资源.”,,功能测试,
allot_resource_010,,不选择咨询师分配资源,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.勾选任一资源
2.点击【提交】",弹窗提示“请选择要分配的咨询师.”,,功能测试,
allot_by_ratio_001,,按比例分配,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】",1.点击【按比例分配】,弹出“比例分配”弹窗,,功能测试,
allot_by_ratio_002,,输入正确数据,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10%】
  白永程 【10%】
  杨琴 【10%】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】",弹出“确定按这种比例分配资源吗?”弹窗,,功能测试,
allot_by_ratio_003,,确认提交,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10%】
  白永程 【10%】
  杨琴 【10%】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】
4.点击【确认】",分配成功,,功能测试,
allot_by_ratio_004,,取消提交,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10%】
  白永程 【10%】
  杨琴 【10%】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】
4.点击【取消】",取消分配,,功能测试,
allot_by_ratio_005,,任一项输入不带百分号的数字,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10】
  白永程 【10】
  杨琴 【10%】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】
4.点击【取消】",分配失败，提示“分配比例格式不正确”,,功能测试,
allot_by_ratio_006,,任一项输入含字母的比例,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【asd】
  白永程 【10%】
  杨琴 【10%】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】
4.点击【取消】",分配失败，提示“分配比例格式不正确”,,功能测试,
allot_by_ratio_007,,任一项输入含特殊字符的比例,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10%】
  白永程 【@@】
  杨琴 【10%】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】
4.点击【取消】",分配失败，提示“分配比例格式不正确”,,功能测试,
allot_by_ratio_008,,任一项不输,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10%】
  白永程 【10%】
  杨琴 【】
  尹瑞 【10%】
  张瑞【60%】
3.点击【提交】
4.点击【取消】",分配失败，提示“分配比例格式不正确”,,功能测试,
allot_by_ratio_009,,任一项输入包含空格的比例,"1.WoniuBoss2.5登陆成功
2.点击【分配资源】","1.点击【按比例分配】
2.向亚林 【10%】
  白永程 【10%】
  杨琴 【10%】
  尹瑞 【 】
  张瑞【60%】
3.点击【提交】
4.点击【取消】",分配失败，提示“分配比例格式不正确”,,功能测试,
common__resource_001,,进入公共资源池,1.WoniuBoss2.5登陆成功,1.点击【公共资源池】,进入公共资源池页面,,功能测试,
common__resource_002,,选择有数据的最后废弃人,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】",1.选择废弃人【郑雪娇】,显示该废弃人废弃的所有资源信息,,功能测试,
common__resource_003,,选择无数据的最后废弃人,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】",1.选择废弃人【倪雪】,提示“无符合条件的记录”,,功能测试,
common__resource_004,,选择无数据的状态,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.选择废弃人【全部】
2.选择状态【条件不符】",提示“无符合条件的记录”,,功能测试,
common__resource_005,,选择有数据的状态,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.选择废弃人【全部】
2.选择状态【无意向】",显示该因为该原因废弃的所有资源信息,,功能测试,
common__resource_006,,选择无数据的来源,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.选择废弃人【全部】
2.选择状态【全部】
3.选择来源【智联招聘】",提示“无符合条件的记录”,,功能测试,
common__resource_007,,选择有数据的来源,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.选择废弃人【全部】
2.选择状态【全部】
3.选择来源【专属】",显示来源是专属的废弃的所有资源信息,,功能测试,
common__resource_008,,文本框输入正确姓名查找,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.文本框输入【谭景焘】
2.点击【查询】",显示谭景焘资源信息,,功能测试,
common__resource_009,,文本框输入不存在的姓名查找,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.文本框输入【张三】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
common__resource_010,,文本框输入正确手机号查找,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.文本框输入【18227594161】
2.点击【查询】",显示手机号是18227594161的资源信息,,功能测试,
common__resource_011,,文本框输入不存在的手机号查找,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.文本框输入【13411111111】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
common__resource_012,,文本框输入不存在的qq号查找,"1.WoniuBoss2.5登陆成功
2.点击【公共资源池】","1.文本框输入【1015221001】
2.点击【查询】",提示“无符合条件的记录”,,功能测试,
