所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/教学管理(#5),新增班级-输入非法信息-不输入班级,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击新增按钮
2. 班号输入框清空
3. 方向选择测试
4. 时间选择2020-04-03
5. 点击保存按钮","1. 
2. 
3.
4. 
5. 保存失败，提示‘班号不能为空’",3,功能测试,"
功能测试阶段"
/教学管理(#5),新增班级-输入非法信息-不输入方向,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击新增按钮
2. 班号输入框输入014
3. 方向下拉框默认为全部
4. 时间选择2020-04-10
5. 点击保存按钮","1. 
2. 
3.
4. 
5. 保存失败，提示‘方向不能为空’",3,功能测试,"
功能测试阶段"
/教学管理(#5),新增班级-输入非法信息-班号输入不以WN开头的字母,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击新增按钮
2. 班号输入框清空并输入CDCDC015
3. 方向下拉框默认为公共
4. 时间选择2020-04-10
5. 点击保存按钮","1. 
2. 
3.
4. 
5. 保存失败，提示‘班号需以‘WN’开头’",3,功能测试,"
功能测试阶段"
/教学管理(#5),新增班级-输入非法信息-班号输入小写字母,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击新增按钮
2. 班号输入框清空并输入wncdc016
3. 方向下拉框默认为公共
4. 时间选择2020-04-10
5. 点击保存按钮","1. 
2. 
3.
4. 
5. 保存失败，提示‘字母必须为大写’",3,功能测试,"
功能测试阶段"
/教学管理(#5),新增班级-输入非法信息-输入重复的班号,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击新增按钮
2. 班号输入框清空并输入WNCDC013
3. 方向下拉框默认为公共
4. 时间选择2020-04-10
5. 点击保存按钮","1. 
2. 
3.
4. 
5. 保存失败，提示‘班号不能重复’",3,功能测试,"
功能测试阶段"
/教学管理(#5),查看新增的班级的开班状态,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理",1. 查看新增班级的开班状态,1. 默认为‘未开班’,3,功能测试,"
功能测试阶段"
/教学管理(#5),是否可以修改开班状态,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 选择新增的班级信息，操作栏内点击‘状态’按钮
2. 弹出修改状态页面
3. 修改状态为‘已开班’","1. 
2. 
3. 修改成功",3,功能测试,"
功能测试阶段"
/教学管理(#5),修改班级阶段-输入合法信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 选择已开班第一阶段的班级
2. 点击修改阶段按钮
3. 在阶段下拉框选择‘第二阶段’
4. 点击保存","1. 
2. 
3. 
4. 弹出‘修改成功’提示框，修改成功",3,功能测试,"
功能测试阶段"
/教学管理(#5),修改班级阶段-输入非法信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 选择已开班第一阶段的班级
2. 点击修改阶段按钮
3. 在阶段下拉框选择‘全部’
4. 点击保存","1. 
2. 
3. 
4. 弹出‘修改失败’提示框，修改失败",3,功能测试,"
功能测试阶段"
/教学管理(#5),转班转校-输入合法信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击转班转校按钮
2. 输入存在的学生姓名点击查询按钮，勾选该学生信息
3. 校区选择成都
4. 方向选择测试
5. 班级下拉框选择所选方向的任一班级
6. 点击确定按钮
7. 点击确定","1. 
2. 
3. 
4. 
5. 
6. 弹出提示框
7. 转班转校成功",3,功能测试,"
功能测试阶段"
/教学管理(#5),转班转校-不选择校区,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击转班转校按钮
2. 输入存在的学生姓名点击查询按钮，勾选该学生信息
3. 不选择校区，默认为全部
4. 方向选择测试
5. 班级下拉框选择所选方向的任一班级
6. 点击确定按钮
7. 点击确定","1. 
2. 
3. 
4. 
5. 
6. 弹出提示框
7. 转班转校成功，默认分到当前校区的班级",3,功能测试,"
功能测试阶段"
/教学管理(#5),转班转校-不选择方向,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击转班转校按钮
2. 输入存在的学生姓名点击查询按钮，勾选该学生信息
3. 选择校区为成都
4. 不选择方向
5. 班级选择下拉框任一班级
6. 点击确定按钮
7. 点击确定","1. 
2. 
3. 
4. 
5. 
6. 弹出提示框请选择方向
7. 转班转校失败",3,功能测试,"
功能测试阶段"
/教学管理(#5),转班转校-选择的校区没有开班的班级,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击转班转校按钮
2. 输入存在的学生姓名点击查询按钮，勾选该学生信息
3. 选择校区为重庆
4. 选择方向为测试
5. 点击班级下拉框
","1. 
2. 
3. 
4. 
5. 班级下拉框未空",3,功能测试,"
功能测试阶段"
/教学管理(#5),转班转校-选择的方向在选择的班级里不存在,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击转班转校按钮
2. 输入存在的学生姓名点击查询按钮，勾选该学生信息
3. 选择校区为成都
4. 选择方向为测试
5. 点击班级下拉框，选择非测试方向的班级
6. 点击确定按钮
","1. 
2. 
3. 
4. 
5. 
6. 弹出提示框‘方向和班级不配’，转班转校失败",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-时间控件是否可以正常选择,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击开始时间和结束时间
3. 选择任一日期","1. 
2. 
3. 可正常选择",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-讲师下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击讲师下拉框
3. 查看讲师列表","1. 
2. 
3. 显示当前校区所有讲师",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-状态下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击状态下拉框
3. 查看状态列表","1. 
2. 
3. 显示正常、休息、实训三个状态",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-班主任下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击班主任下拉框
3. 查看班主任列表","1. 
2. 
3. 显示当前校区所有班主任",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-助教下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击助教下拉框
3. 查看助教列表","1. 
2. 
3. 显示当前校区所有助教",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-教室下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击教室下拉框
3. 查看教室列表","1. 
2. 
3. 显示当前校区所有教室",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-班号下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击班号下拉框
3. 查看班号列表","1. 
2. 
3. 显示当前校区所有班级",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-方向下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击方向下拉框
3. 查看方向列表","1. 
2. 
3. 显示当前校区所有方向",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-课程安排下拉框是否正常显示,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 点击课程安排下拉框
3. 查看课程安排列表","1. 
2. 
3. 显示当前系统所有课程信息",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-全部输入合法信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 开始时间选择2020-04-01，结束时间选择2020-04-06
3. 讲师下拉框选择任一讲师
4. 状态选择正常
5. 选择任一班主任
6. 选择任一助教
7. 选择任一教室
8. 选择任一班号
9. 选择任和班号匹配的方向
10. 选择任一课程
11. 点击保存按钮","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10 
11. 保存成功，列表中成功添加该条信息，数据库新增成功",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-排课-输入开始时间大于结束时间,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 开始时间选择2020-04-07，结束时间选择2020-04-06
3. 其他下拉框选择合法信息
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘开始时间不能大于结束时间’",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-讲师状态为休息状态列表是否显示排课信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘休息’
4. 其他下拉框选择合法信息
5. 点击保存","1. 
2. 
3. 
4. 
5. 保存成功，该讲师的排课信息为空",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-讲师状态为实训状态列表是否显示排课信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘实训’
4. 其他下拉框选择合法信息
5. 点击保存","1. 
2. 
3. 
4. 
5. 保存成功，该讲师的排课信息为空",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-重复时间内选择重复的教室,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘正常’
4. 教室选择该时间段内已被排过课的教室
5. 其他下拉框选择合法信息
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 保存失败，提示‘教室已被占用，请重新选择教室’",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-重复时间内选择重复的班级,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘正常’
4. 班级选择该时间段内已被排过课的班级
5. 其他下拉框选择合法信息
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 保存失败，提示‘该班级已被排课’",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-重复时间内选择重复的讲师,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘正常’
4. 讲师选择该时间段内已被排过课的讲师
5. 其他下拉框选择合法信息
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 保存失败，提示‘该讲师已被排课’",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-重复时间内选择重复的班主任,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘正常’
4. 班主任选择该时间段内已被排过课的班主任
5. 其他下拉框选择合法信息
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 保存失败，提示‘该班主任已被排课’",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-重复时间内选择重复的助教,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘正常’
4. 助教选择该时间段内已被排过课的助教
5. 其他下拉框选择合法信息
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 保存失败，提示‘该助教已被排课’",3,功能测试,"
功能测试阶段"
/教学管理(#5),课程安排-选择的班号和方向不匹配,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击课程安排","1. 点击排课按钮
2. 输入合法时间
3. 讲师状态选择‘正常’
4. 选择和班级不匹配的方向，或者和方向不匹配的班级
5. 其他下拉框选择合法信息
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 保存失败，提示‘方向和班号不匹配’",3,功能测试,"
功能测试阶段"
/教学管理(#5),教室值班-选择合法信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击教师值班","1. 点击指定值班按钮
2. 值班人下拉框选择任一讲师
3. 时间下拉框选择未来某一日期
4. 点击保存按钮","1. 
2. 
3. 
4. 保存成功",3,功能测试,"
功能测试阶段"
/教学管理(#5),教室值班-不选择值班人,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击教师值班","1. 点击指定值班按钮
2. 值班人下拉框不选择
3. 时间下拉框选择未来某一日期
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘有值班信息未选完整’",3,功能测试,"
功能测试阶段"
/教学管理(#5),教室值班-不选择时间,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击教师值班","1. 点击指定值班按钮
2. 值班人下拉框选择任一讲师
3. 时间下拉框不选择
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘有值班信息未选完整’",3,功能测试,"
功能测试阶段"
/教学管理(#5),教室值班-选择过去某一时间,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击教师值班","1. 点击指定值班按钮
2. 值班人下拉框选择任一讲师
3. 时间下拉框选择过去某一日期
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘日期选择不正确’",3,功能测试,"
功能测试阶段"
/教学管理(#5),加班申请-查看默认信息,"1. 成功打开页面
2. 讲师角色成功登录系统
3. 点击教学管理
4. 点击加班申请","1. 点击新增按钮
2. 查看申请人默认信息
3. 查看审核人默认信息
4. 查看加班时长默认信息
5. 查看所属区域默认信息","1. 弹出‘申请单’页面
2. 申请人默认为登录账号，申请人置灰不可修改
3. 审核人默认为直属上级教学主管，置灰不可修改
4. 加班时长默认为2小时，可在下拉框修改
5. 所属区域默认为成都，可在下拉框修改",3,功能测试,"
功能测试阶段"
/教学管理(#5),加班申请-输入合法信息,"1. 成功打开页面
2. 讲师角色成功登录系统
3. 点击教学管理
4. 点击加班申请","1. 点击新增按钮
2. 时间框结束时间>开始时间，且结束时间和开始时间不能大于今天
3. 核算方式选择‘申请调休’
4. 加班时长选择‘4小时’
5. 所属区域选择‘成都’
6. 加班事由输入大于10字的内容
7. 点击提交申请按钮","1. 
2. 
3. 
4. 
5. 
6. 
7. 提交成功",3,功能测试,"
功能测试阶段"
/教学管理(#5),加班申请-输入开始时间大于结束时间,"1. 成功打开页面
2. 讲师角色成功登录系统
3. 点击教学管理
4. 点击加班申请","1. 点击新增按钮
2. 时间框结束时间<开始时间，且结束时间和开始时间不能大于今天
3. 核算方式选择‘申请调休’
4. 加班时长选择‘4小时’
5. 所属区域选择‘成都’
6. 加班事由输入大于10字的内容
7. 点击提交申请按钮","1. 
2. 
3. 
4. 
5. 
6. 
7. 提交失败，提示‘开始时间不能大于结束时间’",3,功能测试,"
功能测试阶段"
/教学管理(#5),加班申请-输入未来某一天时间,"1. 成功打开页面
2. 讲师角色成功登录系统
3. 点击教学管理
4. 点击加班申请","1. 点击新增按钮
2. 时间框结束时间>开始时间，且结束时间和开始时间大于今天
3. 核算方式选择‘申请调休’
4. 加班时长选择‘4小时’
5. 所属区域选择‘成都’
6. 加班事由输入大于10字的内容
7. 点击提交申请按钮","1. 
2. 
3. 
4. 
5. 
6. 
7. 提交失败，提示‘请重新选择时间’",3,功能测试,"
功能测试阶段"
/教学管理(#5),加班申请-输入已申请过的重复时间,"1. 成功打开页面
2. 讲师角色成功登录系统
3. 点击教学管理
4. 点击加班申请","1. 点击新增按钮
2. 时间框输入已申请过的时间
3. 核算方式选择‘申请调休’
4. 加班时长选择‘4小时’
5. 所属区域选择‘成都’
6. 加班事由输入大于10字的内容
7. 点击提交申请按钮","1. 
2. 
3. 
4. 
5. 
6. 
7. 提交失败，提示‘改时间段已申请过，请勿重复申请’",3,功能测试,"
功能测试阶段"
/教学管理(#5),我的申请-查询,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击我的申请",1. 查看列表信息,1. 默认显待审核的信息,3,功能测试,"
功能测试阶段"
/教学管理(#5),加班汇总-查询,"1. 成功打开页面
2. 教师角色成功登录系统
3. 教师已在加班申请模块申请过且通过审核
4. 点击教学管理","1. 点击加班汇总
2. 校区选择成都
3. 讲师选择该登录讲师
4. 点击查询按钮","1. 出现系统所有讲师的加班申请记录
2. 出现成都校区的所有讲师的加班申请记录
3. 
4. 出现该讲师的加班申请记录",3,功能测试,功能测试阶段
/教学管理(#5),加班申请-查看,"1. 成功打开页面
2. 教师角色成功登录系统
3. 教师已在加班申请模块申请过且通过审核
4. 点击教学管理","1. 点击加班申请
2. 查看审核状态为已通过的是否显示审核人姓名","1. 
2. 审核状态为已通过的显示审核人姓名",3,功能测试,功能测试阶段
/教学管理(#5),教师值班-讲师登录是否可以修改值班信息,"1. 成功打开页面
2. 教师角色成功登录系统
3. 讲师已被教学主管安排值班
4. 点击教学管理","1. 点击教师值班
2. 点击查询
3. 查看是否有修改按钮","1. 
2. 列出所有值班信息
3. 没有修改按钮",3,功能测试,功能测试阶段
/教学管理(#5),教师值班-查看教学主管的日志权限,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 教学主管及其他讲师已被安排值班
4. 点击教学管理","1. 点击教师值班
2. 查看教学主管的操作栏日志按钮
3. 查看其他讲师的操作栏日志按钮","1. 
2. 日志按钮置亮可点
3. 日志按钮置灰不可点",3,功能测试,功能测试阶段
/教学管理(#5),教师值班-讲师登录是否可以写日志,"1. 成功打开页面
2. 教师角色成功登录系统
3. 讲师已被教学主管安排值班
4. 点击教学管理","1. 点击教师值班
2. 查看列表右边的操作栏","1. 默认显示登录讲师的值班信息
2. 列表右边操作栏出现日志按钮
",3,功能测试,功能测试阶段
/题库管理(#15),单选题-查看课程是否随阶段的改变而改变,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击题库管理
4. 点击题库管理","1. 点击单选题
2. 方向选择开发，阶段选择第一阶段
3. 查看课程下拉框","1. 
2. 
3. 显示第一阶段的开发课程",3,功能测试,功能测试阶段
/题库管理(#15),单选题-输入合法数据点击保存,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击题库管理
4. 点击题库管理","1. 点击单选题
2. 方向选择开发，阶段选择第一阶段
3. 课程选择java面向对象
4. 输入题目‘java面向对象的特点’
5. 四个选项中分别输入答案
6. 选择一个正确答案
7. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 
7. 提示操作成功，列表成功显示，数据库新增成功",3,功能测试,功能测试阶段
/题库管理(#15),填空题-输入合法数据点击保存,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击题库管理
4. 点击题库管理","1. 点击填空题
2. 方向选择测试，阶段选择第一阶段
3. 课程选择mysql数据库
4. 输入题目‘mysql删除表的语法’
5. 右下角点击添加填空区
6. 答案框输入答案‘drop table xxx’
7. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 
7. 提示操作成功，列表成功显示，数据库新增成功",3,功能测试,功能测试阶段
/题库管理(#15),填空题题-输入合法数据点击保存,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击题库管理
4. 点击题库管理","1. 点击简答题
2. 方向选择测试，阶段选择第二阶段
3. 课程选择系统测试基础
4. 输入题目‘系统测试的过程’
5. 答案框填写‘分析、设计、实现、执行’
6. 点击保存","1. 
2. 
3. 
4. 
5. 
6. 提示操作成功，列表成功显示，数据库新增成功",3,功能测试,功能测试阶段
